,Id,Sentiment,Text Tweet,Clean Text Sentiment Film
173,174,positive,"ini film keren banget bang Kekeluargaannya, cintanya, persahabatannya, komedinya dpt banget sumpah. Jadi makin cinta sama alfi. @radityadika",film keren banget bang keluarga cinta sahabat komedi banget sumpah cinta alf radityadika
174,175,positive,Dan tiap scene Reza-Adinia ini selalu gold moment #CriticalEleven. Ini berdua emg dah ditakdirkan jadi pasangan plg cocok di film saat ini.,scene rezaadinia gold momen criticaleleven dua emang takdir pasang pulang cocok film
175,176,positive,"Film yang keren, pemainnya menggembirakan meski banyak penonton menangis. #kartini",film keren main gembira tonton menang kartini
176,177,positive,"RT @GreatBos: Jarang nonton movie Indonesia Tapi. Yang judulnya Syahadat Cinta, bagus Pemirsa, Recommended .. Jalan ceritanya SERU! .. Hoo…",rt greatbos jarang nonton movie indonesia judul syahadat cinta bagus pirsa recommended jalan cerita seru hoo
177,178,positive,ASTAGAH! FILM FAVORIT KELUAR LAGI LANJUTANNYA. ,astagah film favorit lanjut
178,179,positive,"Masih belun moveon dari #CriticalEleven dan ini bikin saya belajar satu hal. Buku yg diadaptasi ke film, gak bisa kita samakan kualitasnya",bun moveon criticaleleven bikin ajar buku adaptasi film sama kualitas
179,180,positive,"Sudah nonton Critical Eleven. Menyenangkan kok, masuk kategori film Indonesia yang wajib tonton lah.",nonton critical eleven senang masuk kategori film indonesia wajib tonton
180,181,positive,nah ini. coba nonton filmnya deh. asik parah ,coba nonton film deh asik parah
181,182,positive,@unaazizah @yanskii Film keren,unaazizah yanskii film keren
182,183,positive,Lebih suka film yang bentar tapi menarik #DhikeFact,suka film bentar tarik dhikefact
183,184,positive,ga sabar nunggu Bluray nya. pasti banyak special feature yang keren. lebih lucu kalo ada bloopernya,sabar nunggu bluray nya special feature keren lucu bloopernya
184,185,positive,"Film The Guys wajib ditonton bagi kamu yang sayang orang tua, sahabat yang baik, creatif dan cinta kebebasan. Kereen bgt kak @radityadika",film the guys wajib tonton sayang orang tua sahabat creatif cinta bebas kereen banget kak radityadika
185,186,positive,"Film The guys nya keren abiss bang @radityadika . Lucu dapet, romance nya dapet, dan sedih nya juga dapet.",film the guys nya keren abiss bang radityadika lucu dapet romance nya dapet sedih nya dapet
186,187,positive,"41 Vlog dan nunggu 22 hari setelah tanggal rilis baru nonton, kece banget, cerita yang tak tertebak sama sekali. Film THE GUYS @radityadika",vlog nunggu tanggal rilis nonton gaul banget cerita tebak film the guys radityadika
187,188,positive,Kmrn nonton film THE GUYS di situ bener2 ngerasain bgt bahwa sahabat lebih dari segala2''y knapa bang kalau bkn film sllu keren @radityadika,kemarin nonton film the guys situ bener rasa banget sahabat segalay bang film sllu keren radityadika
188,189,positive,Kartini... pemamarannya sangat sederhana dan apa adanya yang justru membuat film ini sangat enak untuk dinikmati @Hanungbramantyo,kartini pemamarannya sederhana film enak nikmat hanungbramantyo
189,190,positive,Abis ntn film Kartini. Bnr2 menginspirasi dan makin membuka pikiran.,habis nonton film kartini inspirasi buka pikir
190,191,positive,"baru nonton Kartini, salah satu film nasional yg sangat recommended untuk ditonton. saya nangis, campur aduk rasanya :'')",nonton kartini salah film nasional recommended tonton nang campur aduk
191,192,positive,Film Kartini *sangat niat banget lihat film ini dan keren sekali dimana banyak scene2 yg sy harus menitikkan air mata #filmkartini #kartini ,film kartini niat banget lihat film keren mana scene titik air mata filmkartini kartini
192,193,positive,KARTINI adalah salah satu film Indonesia bertema sejarah terbaik yg pernah dibuat. Digarap dgn serius dan tema msh relevan dgn kondisi skrg.,kartini salah film indonesia tema sejarah baik garap serius tema relevan kondisi
193,194,positive,harusnya memang begini... Film kartini memang harus di tonton generasi muda http://fb.me/6tQqDGGLJ ,film kartini tonton generasi muda
194,195,positive,Menurutku danur bagus dan cukup bangga dengan film horor hasil karya bangsa ini,turut danur bagus bangga film horor hasil karya bangsa
195,196,positive,Fargo juga adaptasi dari film yang cukup berhasil. Season 1-nya the best! https://t.co/tkEEK3Evs9,fargo adaptasi film hasil season nya the best
196,197,positive,637.000 waw ini sangat keren flm horor dng jumlah penonton segini dlm waktu 4 hari @prillybie @danurmovie,waw keren flm horor tonton gin prillybie danurmovie
197,198,positive,@filmziarah film yang tenang dan menghanyutkan. Salut dengan Mbah Ponco yg bisa membawakan karakter Mbah Sri dengan sangat baik. #FilmZiarah,filmziarah film tenang hanyut salut mbah ponco bawa karakter mbah sri filmziarah
198,199,positive,Film yg amat menarik. Kisah cinta & kesetiaan yg disajikan secara tidak biasa. Bikin kgn nenek. Recomended movie @filmziarah #meiberziarah,film tarik kisah cinta setia saji bikin kangen nenek recomended movie filmziarah meiberziarah
199,200,positive,"Nntn @filmziarah , film bagus, ada kali 5 menit penonton gak beranjak tetep ngliatin layar pdhl film dah selesai, msh spicles sm endingnya",filmziarah film bagus kali menit tonton anjak layar film selesai spicles endingnya
